name,id,time,price,amount
幻慕生,408455,"['2019-08-21T18:17:32', '2019-08-21T15:42:25', '2019-08-21T13:22:07', '2019-08-21T12:56:36', '2019-08-21T12:03:44', '2019-08-20T23:01:21', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-20T22:59:29', '2019-08-20T22:59:29', '2019-08-20T22:59:29', '2019-08-20T22:59:29', '2019-08-20T22:59:29']","[40.0, 40.0, 40.0, 40.0, 40.0, 70.0, 52.64, 52.64, 52.65, 53.0, 54.0, 56.0, 65.0, 65.0, 65.0, 52.61, 52.61, 52.61, 52.61, 52.63]","[327, 50, 19, 100, 4, 2, 41, 111, 50, 95, 78, 25, 30, 10, 190, 10, 10, 10, 10, 300]"
途寄,114312,"['2019-08-17T22:52:44', '2019-08-17T14:25:19']","[40.0, 52.62841519999999]","[3, 475]"
Misuzu,307470,"['2019-08-20T22:56:44', '2019-08-17T14:25:18']","[41.0, 52.62841519999999]","[100, 190]"
奈芙,438645,"['2019-08-21T21:21:00', '2019-08-21T18:17:32', '2019-08-17T14:25:19']","[40.0, 40.0, 52.62841519999999]","[85, 15, 95]"
Maimakimai,322103,['2019-08-21T22:54:27'],[42.0],[100]
allegray,438735,"['2019-08-21T00:33:48', '2019-08-20T23:54:39', '2019-08-17T14:25:18']","[40.0, 68.98, 52.62841519999999]","[10, 150, 186]"
Stibium,296351,['2019-08-20T17:38:52'],[40.0],[50]
你不认识我的,414089,"['2019-08-21T22:07:10', '2019-08-21T21:50:28']","[40.0, 40.0]","[16, 3]"
